,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,Continent
9486,ROU,Romania,2020-03-30,1760,308,40,11,91.48700000000001,16.01,2.079,0.5720000000000001,4.0
9487,ROU,Romania,2020-03-31,1952,192,44,4,101.46799999999999,9.98,2.287,0.20800000000000002,4.0
9488,ROU,Romania,2020-04-01,2245,293,69,25,116.698,15.231,3.5869999999999997,1.3,4.0
9489,ROU,Romania,2020-04-02,2460,215,85,16,127.874,11.175999999999998,4.418,0.8320000000000001,4.0
9490,ROU,Romania,2020-04-03,2738,278,94,9,142.325,14.450999999999999,4.886,0.46799999999999997,4.0
9491,ROU,Romania,2020-04-04,3183,445,133,39,165.457,23.131999999999998,6.914,2.0269999999999997,4.0
9492,ROU,Romania,2020-04-05,3613,430,141,8,187.808,22.351999999999997,7.329,0.41600000000000004,4.0
9493,ROU,Romania,2020-04-06,3864,251,148,7,200.856,13.047,7.693,0.364,4.0
9494,ROU,Romania,2020-04-07,4057,193,157,9,210.888,10.032,8.161,0.46799999999999997,4.0
9495,ROU,Romania,2020-04-08,4417,360,182,25,229.601,18.713,9.461,1.3,4.0
9496,ROU,Romania,2020-04-09,4761,344,209,27,247.483,17.882,10.864,1.403,4.0
9497,ROU,Romania,2020-04-10,5202,441,229,20,270.407,22.924,11.904000000000002,1.04,4.0
9498,ROU,Romania,2020-04-11,5467,265,257,28,284.182,13.775,13.359000000000002,1.455,4.0
9499,ROU,Romania,2020-04-12,5990,523,282,25,311.368,27.186,14.659,1.3,4.0
9500,ROU,Romania,2020-04-13,6300,310,306,24,327.482,16.114,15.905999999999999,1.248,4.0
9501,ROU,Romania,2020-04-14,6633,333,318,12,344.792,17.31,16.53,0.624,4.0
9502,ROU,Romania,2020-04-15,6879,246,344,26,357.579,12.787,17.882,1.3519999999999999,4.0
9503,ROU,Romania,2020-04-16,7216,337,372,28,375.097,17.518,19.337,1.455,4.0
9504,ROU,Romania,2020-04-17,7707,491,387,15,400.62,25.523000000000003,20.117,0.78,4.0
9505,ROU,Romania,2020-04-18,8067,360,400,13,419.333,18.713,20.793000000000003,0.6759999999999999,4.0
9506,RUS,Russia,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9507,RUS,Russia,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9508,RUS,Russia,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9509,RUS,Russia,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9510,RUS,Russia,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9511,RUS,Russia,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9512,RUS,Russia,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9513,RUS,Russia,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9514,RUS,Russia,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9515,RUS,Russia,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9516,RUS,Russia,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9517,RUS,Russia,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9518,RUS,Russia,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9519,RUS,Russia,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9520,RUS,Russia,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9521,RUS,Russia,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9522,RUS,Russia,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9523,RUS,Russia,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9524,RUS,Russia,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9525,RUS,Russia,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9526,RUS,Russia,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9527,RUS,Russia,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9528,RUS,Russia,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9529,RUS,Russia,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9530,RUS,Russia,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9531,RUS,Russia,2020-01-25,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9532,RUS,Russia,2020-01-26,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9533,RUS,Russia,2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9534,RUS,Russia,2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9535,RUS,Russia,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9536,RUS,Russia,2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9537,RUS,Russia,2020-01-31,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9538,RUS,Russia,2020-02-01,2,2,0,0,0.013999999999999999,0.013999999999999999,0.0,0.0,4.0
9539,RUS,Russia,2020-02-02,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9540,RUS,Russia,2020-02-03,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9541,RUS,Russia,2020-02-04,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9542,RUS,Russia,2020-02-05,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9543,RUS,Russia,2020-02-06,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9544,RUS,Russia,2020-02-07,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9545,RUS,Russia,2020-02-08,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9546,RUS,Russia,2020-02-09,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9547,RUS,Russia,2020-02-10,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9548,RUS,Russia,2020-02-11,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9549,RUS,Russia,2020-02-12,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9550,RUS,Russia,2020-02-13,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9551,RUS,Russia,2020-02-14,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
